pulseheight,counts_ch_A,counts_ch_B
540.6020066889632,9,1
541.8060200668897,8,1
543.010033444816,10,1
544.2140468227425,8,0
545.4180602006688,8,0
546.6220735785953,12,1
547.8260869565217,6,2
549.0301003344482,6,2
550.2341137123746,7,2
551.438127090301,12,1
552.6421404682274,11,1
553.8461538461538,7,2
555.0501672240803,8,2
556.2541806020067,14,3
557.4581939799332,10,0
558.6622073578595,7,4
559.866220735786,8,1
561.0702341137123,11,1
562.2742474916388,15,1
563.4782608695652,9,1
564.6822742474917,7,2
565.886287625418,15,2
567.0903010033445,8,0
568.2943143812709,7,1
569.4983277591973,10,0
570.7023411371238,10,0
571.9063545150502,11,1
573.1103678929766,14,0
574.314381270903,3,2
575.5183946488294,9,1
576.7224080267558,10,1
577.9264214046823,11,0
579.1304347826087,8,0
580.3344481605351,12,2
581.5384615384615,8,1
582.7424749163879,15,1
583.9464882943143,7,1
585.1505016722408,7,0
586.3545150501673,9,1
587.5585284280937,11,1
588.7625418060201,8,1
589.9665551839465,13,0
591.1705685618729,8,1
592.3745819397993,6,0
593.5785953177258,7,0
594.7826086956522,10,1
595.9866220735786,7,0
597.190635451505,13,3
598.3946488294314,9,0
599.5986622073578,4,0
600.8026755852843,5,0
602.0066889632108,6,0
603.2107023411371,10,2
604.4147157190636,3,1
605.6187290969899,11,2
606.8227424749164,7,0
608.0267558528428,8,1
609.2307692307693,10,0
610.4347826086956,9,0
611.6387959866221,11,1
612.8428093645484,9,1
614.0468227424749,6,0
615.2508361204013,12,0
616.4548494983278,5,2
617.6588628762543,4,0
618.8628762541806,12,1
620.066889632107,7,2
621.2709030100334,6,1
622.4749163879599,9,1
623.6789297658863,10,2
624.8829431438128,4,1
626.0869565217391,11,3
627.2909698996656,6,0
628.4949832775919,12,0
629.6989966555184,10,1
630.9030100334448,4,0
632.1070234113713,5,1
633.3110367892976,11,1
634.5150501672241,9,1
635.7190635451504,7,0
636.9230769230769,9,3
638.1270903010034,8,1
639.3311036789298,11,1
640.5351170568562,3,2
641.7391304347826,7,3
642.943143812709,12,2
644.1471571906354,13,2
645.3511705685619,13,0
646.5551839464883,9,1
647.7591973244148,8,0
648.9632107023411,6,2
650.1672240802675,9,1
651.371237458194,9,1
652.5752508361204,9,3
653.7792642140469,7,0
654.9832775919733,6,1
656.1872909698997,8,1
657.3913043478261,5,2
658.5953177257525,13,0
659.7993311036789,13,3
661.0033444816054,9,1
662.2073578595318,6,1
663.4113712374582,8,1
664.6153846153846,6,3
665.819397993311,10,2
667.0234113712374,10,3
668.2274247491639,14,2
669.4314381270904,17,0
670.6354515050168,11,3
671.8394648829432,9,3
673.0434782608695,14,4
674.247491638796,20,7
675.4515050167224,17,3
676.6555183946489,11,6
677.8595317725753,22,8
679.0635451505017,16,2
680.267558528428,19,1
681.4715719063545,32,5
682.6755852842809,29,4
683.8795986622074,19,1
685.0836120401339,40,3
686.2876254180602,31,6
687.4916387959865,28,9
688.695652173913,30,5
689.8996655518395,36,4
691.1036789297659,44,5
692.3076923076924,40,8
693.5117056856187,58,11
694.7157190635452,43,12
695.9197324414715,57,11
697.123745819398,41,14
698.3277591973244,47,10
699.5317725752509,60,3
700.7357859531774,82,7
701.9397993311037,66,6
703.14381270903,68,9
704.3478260869565,73,9
705.551839464883,69,5
706.7558528428094,71,9
707.9598662207359,87,16
709.1638795986622,75,7
710.3678929765886,77,18
711.571906354515,90,9
712.7759197324415,85,13
713.9799331103679,83,11
715.1839464882944,84,7
716.3879598662207,110,5
717.5919732441471,96,12
718.7959866220735,91,12
720.0,85,9
721.2040133779265,96,9
722.4080267558529,95,4
723.6120401337793,109,11
724.8160535117057,111,12
726.0200668896321,120,7
727.2240802675585,100,8
728.428093645485,98,9
729.6321070234114,96,11
730.8361204013379,91,7
732.0401337792642,100,7
733.2441471571906,96,9
734.448160535117,92,5
735.6521739130435,92,7
736.85618729097,110,10
