pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,1,1
501.304347826087,3,1
502.17391304347825,4,0
503.04347826086956,8,0
503.9130434782609,8,1
504.78260869565213,13,1
505.6521739130435,11,0
506.52173913043475,11,0
507.3913043478261,20,1
508.2608695652174,16,1
509.13043478260875,22,1
510.0,21,0
510.86956521739125,20,4
511.7391304347826,16,1
512.608695652174,20,1
513.4782608695652,22,2
514.3478260869565,23,1
515.2173913043478,24,0
516.0869565217391,21,2
516.9565217391305,18,1
517.8260869565217,18,0
518.695652173913,20,1
519.5652173913044,16,1
520.4347826086956,25,1
521.304347826087,16,2
522.1739130434783,23,0
523.0434782608695,25,1
523.9130434782609,20,2
524.7826086956522,20,1
525.6521739130435,22,3
526.5217391304348,34,1
527.391304347826,17,1
528.2608695652174,18,1
529.1304347826087,27,2
530.0,26,1
530.8695652173913,21,1
531.7391304347826,15,1
532.6086956521739,22,0
533.4782608695652,31,1
534.3478260869565,18,1
535.2173913043478,21,3
536.0869565217391,25,2
536.9565217391305,24,1
537.8260869565217,21,1
538.695652173913,24,0
539.5652173913044,25,0
540.4347826086956,22,0
541.304347826087,24,1
542.1739130434783,31,0
543.0434782608695,27,0
543.9130434782609,21,0
544.7826086956522,22,1
545.6521739130435,17,0
546.5217391304348,25,0
547.391304347826,25,1
548.2608695652174,17,0
549.1304347826087,28,1
550.0,29,0
550.8695652173913,26,1
551.7391304347826,25,4
552.6086956521739,29,1
553.4782608695652,26,0
554.3478260869565,36,1
555.2173913043478,26,0
556.0869565217391,31,1
556.9565217391305,34,0
557.8260869565217,19,3
558.695652173913,27,2
559.5652173913044,21,1
560.4347826086956,25,1
561.304347826087,20,1
562.1739130434783,17,1
563.0434782608695,14,0
563.9130434782609,35,0
564.7826086956522,28,1
565.6521739130435,30,2
566.5217391304348,33,0
567.3913043478261,28,3
568.2608695652174,38,0
569.1304347826087,19,0
570.0,28,0
570.8695652173913,25,0
571.7391304347826,33,0
572.6086956521739,24,3
573.4782608695652,33,2
574.3478260869565,29,0
575.2173913043478,41,0
576.0869565217391,45,7
576.9565217391305,46,0
577.8260869565217,47,1
578.695652173913,39,3
579.5652173913044,42,0
580.4347826086956,61,6
581.304347826087,69,0
582.1739130434783,60,3
583.0434782608695,56,2
583.9130434782609,63,3
584.7826086956522,66,2
585.6521739130435,70,3
586.5217391304348,72,2
587.3913043478261,77,3
588.2608695652174,85,3
589.1304347826087,97,1
590.0,124,3
590.8695652173913,98,4
591.7391304347826,101,3
592.6086956521739,130,2
593.4782608695652,112,2
594.3478260869565,107,1
595.2173913043478,107,1
596.0869565217391,133,4
596.9565217391305,143,5
597.8260869565217,153,7
598.695652173913,151,3
599.5652173913044,145,2
600.4347826086956,157,1
601.304347826087,178,3
602.1739130434783,176,3
603.0434782608695,199,5
603.9130434782609,224,1
604.7826086956522,179,3
605.6521739130435,201,3
606.5217391304348,184,5
607.3913043478261,232,2
608.2608695652174,244,1
609.1304347826087,246,5
610.0,231,3
610.8695652173913,239,3
611.7391304347826,258,3
612.6086956521739,275,3
613.4782608695652,255,3
614.3478260869565,287,8
615.2173913043478,262,5
616.0869565217391,290,2
616.9565217391305,281,2
617.8260869565217,244,1
618.695652173913,294,1
619.5652173913044,293,4
620.4347826086956,269,3
621.304347826087,259,3
622.1739130434783,280,6
623.0434782608695,264,2
623.9130434782609,265,2
624.7826086956522,280,5
625.6521739130435,283,3
626.5217391304348,274,6
627.3913043478261,230,3
628.2608695652174,307,1
629.1304347826087,234,0
630.0,261,5
630.8695652173913,220,2
631.7391304347826,237,5
632.6086956521739,250,0
633.4782608695652,224,2
634.3478260869565,240,4
635.2173913043478,237,1
636.0869565217391,204,3
636.9565217391305,172,1
637.8260869565217,204,3
638.695652173913,180,6
639.5652173913044,164,1
640.4347826086956,152,4
641.304347826087,159,3
642.1739130434783,158,2
643.0434782608695,151,1
643.9130434782609,124,3
644.7826086956521,121,0
645.6521739130435,115,2
646.5217391304348,120,2
647.3913043478261,95,4
648.2608695652174,110,0
649.1304347826087,82,1
650.0,68,2
650.8695652173913,68,1
651.7391304347826,85,2
652.6086956521739,80,1
653.4782608695652,72,1
654.3478260869565,48,1
655.2173913043478,59,2
656.0869565217391,61,3
656.9565217391305,46,4
657.8260869565217,52,2
658.695652173913,35,3
659.5652173913044,35,0
660.4347826086956,42,2
661.304347826087,27,1
662.1739130434783,32,2
663.0434782608695,30,1
663.9130434782609,30,1
664.7826086956521,25,3
665.6521739130435,22,1
666.5217391304348,20,3
667.3913043478261,20,0
668.2608695652174,17,0
669.1304347826087,23,0
670.0,19,1
670.8695652173913,17,1
671.7391304347826,15,1
672.6086956521739,20,0
673.4782608695652,10,0
674.3478260869565,9,3
675.2173913043478,13,2
676.0869565217391,11,0
676.9565217391305,5,0
677.8260869565217,12,1
678.695652173913,12,0
679.5652173913044,8,2
680.4347826086956,11,1
681.304347826087,13,0
682.1739130434783,6,1
683.0434782608695,9,2
683.9130434782609,9,1
684.7826086956521,4,0
685.6521739130435,4,0
686.5217391304348,10,0
687.3913043478261,11,0
688.2608695652174,11,2
689.1304347826087,4,0
690.0,7,1
690.8695652173913,8,0
691.7391304347826,7,2
692.6086956521739,10,1
693.4782608695652,10,1
694.3478260869565,6,0
695.2173913043478,9,1
696.0869565217391,8,0
696.9565217391305,12,1
697.8260869565217,8,2
698.695652173913,8,1
699.5652173913044,13,2
700.4347826086956,12,0
701.304347826087,8,0
702.1739130434783,5,1
703.0434782608695,6,0
703.9130434782609,5,0
704.7826086956521,7,0
705.6521739130435,14,1
706.5217391304348,5,1
707.3913043478261,5,1
708.2608695652174,12,0
709.1304347826087,14,0
710.0,12,2
710.8695652173913,7,1
711.7391304347826,7,0
712.6086956521739,6,3
713.4782608695652,5,0
714.3478260869565,9,3
715.2173913043478,12,0
716.0869565217391,10,1
716.9565217391305,9,0
717.8260869565217,5,0
718.695652173913,8,0
719.5652173913044,10,0
720.4347826086956,13,0
721.304347826087,7,1
722.1739130434783,9,1
723.0434782608695,6,1
723.9130434782609,6,2
724.7826086956521,6,1
725.6521739130435,8,0
726.5217391304348,3,0
727.3913043478261,9,0
728.2608695652174,5,1
729.1304347826087,9,1
730.0,8,0
730.8695652173913,15,0
731.7391304347826,8,2
732.6086956521739,7,2
733.4782608695652,8,0
734.3478260869565,11,0
735.2173913043478,14,0
