pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,1,4
501.304347826087,4,1
502.17391304347825,7,2
503.04347826086956,4,1
503.9130434782609,11,1
504.78260869565213,11,4
505.6521739130435,13,3
506.52173913043475,11,2
507.3913043478261,25,3
508.2608695652174,23,1
509.13043478260875,16,0
510.0,17,3
510.86956521739125,7,3
511.7391304347826,16,0
512.608695652174,23,2
513.4782608695652,13,2
514.3478260869565,19,1
515.2173913043478,16,1
516.0869565217391,20,1
516.9565217391305,15,1
517.8260869565217,14,1
518.695652173913,21,3
519.5652173913044,16,2
520.4347826086956,18,1
521.304347826087,14,2
522.1739130434783,21,1
523.0434782608695,18,2
523.9130434782609,21,4
524.7826086956522,8,3
525.6521739130435,22,1
526.5217391304348,27,4
527.391304347826,19,6
528.2608695652174,25,2
529.1304347826087,19,2
530.0,21,0
530.8695652173913,20,3
531.7391304347826,24,2
532.6086956521739,29,2
533.4782608695652,19,1
534.3478260869565,18,4
535.2173913043478,20,2
536.0869565217391,23,1
536.9565217391305,23,1
537.8260869565217,20,1
538.695652173913,17,4
539.5652173913044,29,3
540.4347826086956,20,2
541.304347826087,24,6
542.1739130434783,24,4
543.0434782608695,23,3
543.9130434782609,21,2
544.7826086956522,22,3
545.6521739130435,27,3
546.5217391304348,11,2
547.391304347826,22,1
548.2608695652174,24,2
549.1304347826087,18,0
550.0,16,3
550.8695652173913,39,1
551.7391304347826,17,4
552.6086956521739,20,3
553.4782608695652,19,2
554.3478260869565,21,2
555.2173913043478,25,5
556.0869565217391,30,4
556.9565217391305,25,6
557.8260869565217,22,1
558.695652173913,20,1
559.5652173913044,18,3
560.4347826086956,16,2
561.304347826087,21,2
562.1739130434783,27,3
563.0434782608695,24,3
563.9130434782609,26,5
564.7826086956522,21,7
565.6521739130435,27,2
566.5217391304348,20,7
567.3913043478261,35,3
568.2608695652174,42,6
569.1304347826087,23,7
570.0,26,2
570.8695652173913,27,13
571.7391304347826,34,6
572.6086956521739,40,6
573.4782608695652,30,3
574.3478260869565,28,6
575.2173913043478,41,7
576.0869565217391,41,8
576.9565217391305,35,9
577.8260869565217,38,8
578.695652173913,32,5
579.5652173913044,47,11
580.4347826086956,50,10
581.304347826087,46,18
582.1739130434783,44,7
583.0434782608695,54,15
583.9130434782609,68,14
584.7826086956522,52,12
585.6521739130435,74,7
586.5217391304348,71,10
587.3913043478261,55,16
588.2608695652174,74,11
589.1304347826087,74,20
590.0,106,14
590.8695652173913,101,19
591.7391304347826,94,18
592.6086956521739,109,17
593.4782608695652,100,18
594.3478260869565,120,21
595.2173913043478,114,13
596.0869565217391,132,15
596.9565217391305,140,13
597.8260869565217,150,20
598.695652173913,157,21
599.5652173913044,147,21
600.4347826086956,174,17
601.304347826087,145,13
602.1739130434783,161,23
603.0434782608695,186,27
603.9130434782609,188,15
604.7826086956522,185,25
605.6521739130435,204,18
606.5217391304348,196,15
607.3913043478261,202,25
608.2608695652174,222,23
609.1304347826087,241,20
610.0,235,26
610.8695652173913,231,19
611.7391304347826,211,25
612.6086956521739,263,22
613.4782608695652,229,21
614.3478260869565,230,14
615.2173913043478,276,23
616.0869565217391,243,17
616.9565217391305,265,26
617.8260869565217,282,25
618.695652173913,243,29
619.5652173913044,254,24
620.4347826086956,280,27
621.304347826087,246,32
622.1739130434783,252,21
623.0434782608695,271,22
623.9130434782609,258,22
624.7826086956522,261,20
625.6521739130435,290,15
626.5217391304348,285,20
627.3913043478261,266,25
628.2608695652174,267,16
629.1304347826087,259,23
630.0,239,14
630.8695652173913,231,16
631.7391304347826,237,28
632.6086956521739,235,15
633.4782608695652,231,16
634.3478260869565,204,9
635.2173913043478,226,16
636.0869565217391,189,13
636.9565217391305,184,17
637.8260869565217,173,10
638.695652173913,175,11
639.5652173913044,163,11
640.4347826086956,139,7
641.304347826087,154,14
642.1739130434783,143,13
643.0434782608695,150,10
643.9130434782609,131,22
644.7826086956521,135,10
645.6521739130435,106,10
646.5217391304348,112,5
647.3913043478261,105,11
648.2608695652174,93,13
649.1304347826087,96,5
650.0,72,8
650.8695652173913,74,14
651.7391304347826,55,7
652.6086956521739,62,16
653.4782608695652,69,9
654.3478260869565,54,14
655.2173913043478,58,5
656.0869565217391,47,8
656.9565217391305,44,5
657.8260869565217,36,4
658.695652173913,43,2
659.5652173913044,37,7
660.4347826086956,46,8
661.304347826087,46,6
662.1739130434783,22,6
663.0434782608695,13,6
663.9130434782609,28,3
664.7826086956521,28,5
665.6521739130435,13,3
666.5217391304348,20,7
667.3913043478261,22,4
668.2608695652174,14,9
669.1304347826087,15,5
670.0,13,3
670.8695652173913,15,8
671.7391304347826,19,4
672.6086956521739,2,5
673.4782608695652,12,2
674.3478260869565,11,6
675.2173913043478,6,4
676.0869565217391,11,6
676.9565217391305,13,5
677.8260869565217,15,4
678.695652173913,10,6
679.5652173913044,5,1
680.4347826086956,10,3
681.304347826087,9,3
682.1739130434783,9,0
683.0434782608695,6,6
683.9130434782609,7,5
684.7826086956521,7,2
685.6521739130435,9,4
686.5217391304348,8,2
687.3913043478261,8,2
688.2608695652174,15,4
689.1304347826087,8,3
690.0,10,4
690.8695652173913,4,3
691.7391304347826,3,4
692.6086956521739,14,5
693.4782608695652,8,3
694.3478260869565,14,2
695.2173913043478,10,4
696.0869565217391,14,3
696.9565217391305,8,1
697.8260869565217,8,3
698.695652173913,11,3
699.5652173913044,10,4
700.4347826086956,12,4
701.304347826087,7,2
702.1739130434783,10,2
703.0434782608695,7,5
703.9130434782609,8,5
704.7826086956521,12,3
705.6521739130435,9,2
706.5217391304348,2,3
707.3913043478261,4,4
708.2608695652174,3,3
709.1304347826087,2,3
710.0,9,2
710.8695652173913,9,2
711.7391304347826,8,5
712.6086956521739,10,0
713.4782608695652,5,1
714.3478260869565,1,3
715.2173913043478,10,4
716.0869565217391,7,0
716.9565217391305,11,0
717.8260869565217,11,5
718.695652173913,4,4
719.5652173913044,4,1
720.4347826086956,4,4
721.304347826087,12,1
722.1739130434783,9,0
723.0434782608695,12,0
723.9130434782609,6,2
724.7826086956521,10,2
725.6521739130435,5,0
726.5217391304348,4,0
727.3913043478261,10,5
728.2608695652174,8,0
729.1304347826087,7,3
730.0,6,2
730.8695652173913,9,2
731.7391304347826,4,1
732.6086956521739,5,1
733.4782608695652,8,2
734.3478260869565,8,2
