pulseheight,counts_ch_A,counts_ch_B
540.6020066889632,9,2
541.8060200668897,9,3
543.010033444816,11,0
544.2140468227425,12,1
545.4180602006688,15,1
546.6220735785953,14,0
547.8260869565217,7,1
549.0301003344482,8,3
550.2341137123746,11,1
551.438127090301,6,2
552.6421404682274,5,2
553.8461538461538,7,1
555.0501672240803,13,2
556.2541806020067,8,1
557.4581939799332,5,2
558.6622073578595,9,1
559.866220735786,12,3
561.0702341137123,4,2
562.2742474916388,6,1
563.4782608695652,2,1
564.6822742474917,8,0
565.886287625418,10,2
567.0903010033445,8,1
568.2943143812709,10,1
569.4983277591973,10,2
570.7023411371238,8,1
571.9063545150502,8,1
573.1103678929766,7,1
574.314381270903,4,1
575.5183946488294,7,3
576.7224080267558,5,2
577.9264214046823,5,0
579.1304347826087,8,1
580.3344481605351,9,1
581.5384615384615,6,3
582.7424749163879,12,1
583.9464882943143,7,4
585.1505016722408,8,2
586.3545150501673,7,1
587.5585284280937,9,3
588.7625418060201,8,2
589.9665551839465,16,2
591.1705685618729,8,2
592.3745819397993,8,1
593.5785953177258,5,0
594.7826086956522,10,2
595.9866220735786,9,1
597.190635451505,10,4
598.3946488294314,8,1
599.5986622073578,6,1
600.8026755852843,9,2
602.0066889632108,6,1
603.2107023411371,5,3
604.4147157190636,4,3
605.6187290969899,7,0
606.8227424749164,10,1
608.0267558528428,5,3
609.2307692307693,13,2
610.4347826086956,9,2
611.6387959866221,9,2
612.8428093645484,4,2
614.0468227424749,8,0
615.2508361204013,9,1
616.4548494983278,6,3
617.6588628762543,11,1
618.8628762541806,5,1
620.066889632107,11,3
621.2709030100334,10,1
622.4749163879599,6,0
623.6789297658863,7,1
624.8829431438128,10,3
626.0869565217391,12,3
627.2909698996656,5,3
628.4949832775919,11,1
629.6989966555184,5,1
630.9030100334448,11,3
632.1070234113713,5,1
633.3110367892976,8,3
634.5150501672241,10,2
635.7190635451504,8,0
636.9230769230769,11,1
638.1270903010034,9,5
639.3311036789298,12,1
640.5351170568562,8,1
641.7391304347826,3,4
642.943143812709,7,1
644.1471571906354,5,3
645.3511705685619,11,2
646.5551839464883,6,1
647.7591973244148,9,3
648.9632107023411,7,0
650.1672240802675,7,2
651.371237458194,2,2
652.5752508361204,12,3
653.7792642140469,3,2
654.9832775919733,6,1
656.1872909698997,10,1
657.3913043478261,4,0
658.5953177257525,5,5
659.7993311036789,5,3
661.0033444816054,9,3
662.2073578595318,10,4
663.4113712374582,10,3
664.6153846153846,6,3
665.819397993311,14,3
667.0234113712374,10,0
668.2274247491639,5,2
669.4314381270904,12,1
670.6354515050168,6,2
671.8394648829432,12,2
673.0434782608695,7,7
674.247491638796,10,5
675.4515050167224,19,8
676.6555183946489,18,1
677.8595317725753,21,4
679.0635451505017,17,4
680.267558528428,17,4
681.4715719063545,14,1
682.6755852842809,22,3
683.8795986622074,21,6
685.0836120401339,33,4
686.2876254180602,31,5
687.4916387959865,32,4
688.695652173913,35,6
689.8996655518395,33,4
691.1036789297659,50,2
692.3076923076924,38,3
693.5117056856187,45,5
694.7157190635452,38,6
695.9197324414715,52,8
697.123745819398,53,12
698.3277591973244,52,1
699.5317725752509,57,6
700.7357859531774,50,5
701.9397993311037,63,9
703.14381270903,74,7
704.3478260869565,57,7
705.551839464883,71,6
706.7558528428094,72,11
707.9598662207359,78,6
709.1638795986622,64,9
710.3678929765886,81,7
711.571906354515,78,7
712.7759197324415,62,5
713.9799331103679,80,4
715.1839464882944,82,3
716.3879598662207,85,5
717.5919732441471,113,2
718.7959866220735,96,8
720.0,75,11
721.2040133779265,74,3
722.4080267558529,72,3
723.6120401337793,99,7
724.8160535117057,86,4
726.0200668896321,97,2
727.2240802675585,79,5
728.428093645485,90,3
729.6321070234114,96,9
730.8361204013379,87,3
732.0401337792642,75,5
733.2441471571906,75,1
734.448160535117,69,4
735.6521739130435,84,2
736.85618729097,75,3
738.0602006688964,80,6
739.2642140468228,86,4
740.4682274247491,64,9
741.6722408026756,75,2
742.876254180602,63,3
744.0802675585285,48,4
745.2842809364549,55,2
746.4882943143813,44,3
747.6923076923076,42,1
748.8963210702341,55,5
750.1003344481605,41,1
751.304347826087,46,4
752.5083612040135,38,4
753.7123745819398,41,3
754.9163879598663,32,6
756.1204013377926,26,4
757.3244147157191,34,1
758.5284280936455,25,2
759.732441471572,22,2
760.9364548494984,21,4
762.1404682274248,19,0
763.3444816053511,20,1
764.5484949832776,18,0
765.752508361204,12,1
766.9565217391305,12,3
768.160535117057,9,3
769.3645484949833,15,3
770.5685618729096,14,1
771.7725752508361,7,2
772.9765886287626,8,1
774.180602006689,4,2
775.3846153846155,6,4
776.5886287625418,8,5
777.7926421404682,5,3
778.9966555183946,4,2
780.2006688963211,6,1
781.4046822742475,7,2
782.608695652174,5,1
783.8127090301003,5,2
785.0167224080268,5,5
786.2207357859531,3,2
787.4247491638796,7,0
788.628762541806,6,2
789.8327759197325,1,1
791.036789297659,6,1
792.2408026755853,4,1
793.4448160535117,3,0
794.6488294314381,1,1
795.8528428093646,6,2
797.056856187291,0,0
798.2608695652175,4,1
799.4648829431438,2,1
800.6688963210702,6,2
801.8729096989966,2,1
803.0769230769231,2,1
804.2809364548496,3,1
805.484949832776,2,1
806.6889632107024,6,2
807.8929765886287,3,1
809.0969899665552,4,0
810.3010033444816,0,1
811.5050167224081,4,2
812.7090301003345,4,2
813.913043478261,2,0
815.1170568561872,1,0
816.3210702341137,2,2
817.5250836120401,1,1
818.7290969899666,2,3
819.933110367893,3,1
821.1371237458195,2,1
822.3411371237457,2,2
823.5451505016722,2,2
824.7491638795987,1,0
825.9531772575251,2,2
827.1571906354516,4,2
828.361204013378,3,0
829.5652173913044,1,0
830.7692307692307,4,0
831.9732441471572,4,1
833.1772575250836,0,2
834.3812709030101,3,2
835.5852842809365,2,1
836.7892976588629,5,2
837.9933110367892,3,2
839.1973244147157,2,0
840.4013377926422,2,1
841.6053511705686,3,0
842.8093645484951,1,1
844.0133779264215,3,1
845.2173913043478,4,1
846.4214046822742,1,1
847.6254180602007,4,0
848.8294314381271,4,0
850.0334448160536,2,0
851.23745819398,3,1
852.4414715719063,2,1
853.6454849498327,3,0
854.8494983277592,0,0
856.0535117056857,2,1
857.2575250836121,2,2
858.4615384615386,4,0
859.6655518394649,2,0
860.8695652173913,1,0
862.0735785953177,3,0
863.2775919732442,4,1
864.4816053511706,2,2
865.6856187290971,2,0
866.8896321070234,3,1
868.0936454849498,1,0
869.2976588628762,4,2
870.5016722408027,1,1
871.7056856187291,3,1
872.9096989966556,2,0
874.1137123745821,1,0
875.3177257525083,2,0
876.5217391304348,2,0
877.7257525083612,2,1
878.9297658862877,1,0
880.1337792642141,4,0
881.3377926421406,4,1
882.5418060200668,2,0
883.7458193979933,0,3
884.9498327759197,5,0
886.1538461538462,2,0
887.3578595317726,1,0
888.5618729096991,3,0
889.7658862876254,3,4
890.9698996655518,3,1
892.1739130434783,1,0
893.3779264214047,0,0
894.5819397993312,4,0
895.7859531772576,3,1
896.989966555184,1,0
898.1939799331103,4,0
899.3979933110368,1,1
