pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,4,0
501.304347826087,5,2
502.17391304347825,4,1
503.04347826086956,3,0
503.9130434782609,6,2
504.78260869565213,6,2
505.6521739130435,7,3
506.52173913043475,12,1
507.3913043478261,6,0
508.2608695652174,10,2
509.13043478260875,8,1
510.0,16,0
510.86956521739125,20,1
511.7391304347826,20,1
512.608695652174,14,0
513.4782608695652,26,1
514.3478260869565,16,0
515.2173913043478,19,1
516.0869565217391,24,1
516.9565217391305,21,1
517.8260869565217,23,1
518.695652173913,16,2
519.5652173913044,14,3
520.4347826086956,23,0
521.304347826087,19,1
522.1739130434783,20,0
523.0434782608695,36,1
523.9130434782609,27,2
524.7826086956522,26,1
525.6521739130435,30,0
526.5217391304348,29,1
527.391304347826,32,0
528.2608695652174,27,1
529.1304347826087,24,4
530.0,24,1
530.8695652173913,29,2
531.7391304347826,27,1
532.6086956521739,29,1
533.4782608695652,26,1
534.3478260869565,24,2
535.2173913043478,30,2
536.0869565217391,25,2
536.9565217391305,24,2
537.8260869565217,26,2
538.695652173913,30,1
539.5652173913044,24,1
540.4347826086956,19,0
541.304347826087,33,0
542.1739130434783,32,3
543.0434782608695,24,2
543.9130434782609,29,0
544.7826086956522,27,2
545.6521739130435,28,2
546.5217391304348,22,4
547.391304347826,31,3
548.2608695652174,24,2
549.1304347826087,30,0
550.0,30,1
550.8695652173913,30,2
551.7391304347826,33,2
552.6086956521739,24,2
553.4782608695652,31,1
554.3478260869565,34,4
555.2173913043478,32,3
556.0869565217391,22,1
556.9565217391305,25,4
557.8260869565217,29,2
558.695652173913,30,2
559.5652173913044,28,4
560.4347826086956,34,2
561.304347826087,27,0
562.1739130434783,38,1
563.0434782608695,26,3
563.9130434782609,38,2
564.7826086956522,37,5
565.6521739130435,29,1
566.5217391304348,45,2
567.3913043478261,28,1
568.2608695652174,32,2
569.1304347826087,30,3
570.0,28,1
570.8695652173913,41,2
571.7391304347826,39,1
572.6086956521739,30,3
573.4782608695652,38,3
574.3478260869565,40,4
575.2173913043478,37,3
576.0869565217391,45,6
576.9565217391305,49,2
577.8260869565217,47,1
578.695652173913,45,2
579.5652173913044,62,2
580.4347826086956,56,4
581.304347826087,56,2
582.1739130434783,60,4
583.0434782608695,77,4
583.9130434782609,79,4
584.7826086956522,71,2
585.6521739130435,81,6
586.5217391304348,75,2
587.3913043478261,79,5
588.2608695652174,86,8
589.1304347826087,99,5
590.0,106,10
590.8695652173913,109,6
591.7391304347826,128,7
592.6086956521739,96,7
593.4782608695652,117,7
594.3478260869565,128,9
595.2173913043478,140,7
596.0869565217391,106,4
596.9565217391305,132,11
597.8260869565217,142,11
598.695652173913,186,9
599.5652173913044,184,13
600.4347826086956,190,7
601.304347826087,201,13
602.1739130434783,199,8
603.0434782608695,217,11
603.9130434782609,229,8
604.7826086956522,233,18
605.6521739130435,235,14
606.5217391304348,243,15
607.3913043478261,259,11
608.2608695652174,262,13
609.1304347826087,282,14
610.0,288,16
610.8695652173913,316,16
611.7391304347826,303,13
612.6086956521739,336,15
613.4782608695652,261,10
614.3478260869565,312,9
615.2173913043478,322,18
616.0869565217391,343,13
616.9565217391305,313,18
617.8260869565217,354,12
618.695652173913,354,18
619.5652173913044,333,15
620.4347826086956,347,12
621.304347826087,345,15
622.1739130434783,367,17
623.0434782608695,351,13
623.9130434782609,333,19
624.7826086956522,359,20
625.6521739130435,336,13
626.5217391304348,322,14
627.3913043478261,317,9
628.2608695652174,308,19
629.1304347826087,333,16
630.0,319,12
630.8695652173913,316,16
631.7391304347826,308,7
632.6086956521739,325,17
633.4782608695652,278,15
634.3478260869565,292,10
635.2173913043478,291,11
636.0869565217391,255,14
636.9565217391305,270,6
637.8260869565217,251,7
638.695652173913,272,13
639.5652173913044,239,10
640.4347826086956,219,18
641.304347826087,224,14
642.1739130434783,203,10
643.0434782608695,197,8
643.9130434782609,182,12
644.7826086956521,176,21
645.6521739130435,164,10
646.5217391304348,158,10
647.3913043478261,150,10
648.2608695652174,157,14
649.1304347826087,139,9
650.0,124,7
650.8695652173913,103,8
651.7391304347826,101,9
652.6086956521739,114,14
653.4782608695652,96,13
654.3478260869565,70,8
655.2173913043478,81,7
656.0869565217391,82,8
656.9565217391305,69,5
657.8260869565217,57,9
658.695652173913,63,6
659.5652173913044,58,13
660.4347826086956,56,7
661.304347826087,56,5
662.1739130434783,50,6
663.0434782608695,28,4
663.9130434782609,36,6
664.7826086956521,37,5
665.6521739130435,36,4
666.5217391304348,35,3
667.3913043478261,25,4
