pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,1,1
501.304347826087,5,5
502.17391304347825,1,4
503.04347826086956,2,2
503.9130434782609,5,2
504.78260869565213,7,1
505.6521739130435,11,2
506.52173913043475,5,1
507.3913043478261,7,3
508.2608695652174,9,3
509.13043478260875,20,0
510.0,13,2
510.86956521739125,16,2
511.7391304347826,16,2
512.608695652174,19,5
513.4782608695652,22,2
514.3478260869565,18,2
515.2173913043478,21,5
516.0869565217391,24,4
516.9565217391305,23,0
517.8260869565217,29,2
518.695652173913,16,3
519.5652173913044,20,2
520.4347826086956,25,1
521.304347826087,22,1
522.1739130434783,23,2
523.0434782608695,30,1
523.9130434782609,29,2
524.7826086956522,25,3
525.6521739130435,27,1
526.5217391304348,27,4
527.391304347826,25,0
528.2608695652174,27,2
529.1304347826087,37,2
530.0,25,3
530.8695652173913,27,1
531.7391304347826,36,1
532.6086956521739,21,4
533.4782608695652,28,1
534.3478260869565,19,0
535.2173913043478,26,0
536.0869565217391,33,2
536.9565217391305,32,1
537.8260869565217,32,1
538.695652173913,25,0
539.5652173913044,18,4
540.4347826086956,34,2
541.304347826087,25,2
542.1739130434783,34,0
543.0434782608695,16,2
543.9130434782609,25,0
544.7826086956522,29,3
545.6521739130435,34,5
546.5217391304348,22,3
547.391304347826,27,1
548.2608695652174,19,5
549.1304347826087,29,2
550.0,39,2
550.8695652173913,28,3
551.7391304347826,36,2
552.6086956521739,30,2
553.4782608695652,36,2
554.3478260869565,27,3
555.2173913043478,24,1
556.0869565217391,25,3
556.9565217391305,17,5
557.8260869565217,29,4
558.695652173913,29,3
559.5652173913044,28,3
560.4347826086956,18,4
561.304347826087,35,4
562.1739130434783,28,4
563.0434782608695,39,5
563.9130434782609,29,2
564.7826086956522,31,1
565.6521739130435,24,6
566.5217391304348,34,7
567.3913043478261,44,3
568.2608695652174,28,5
569.1304347826087,33,5
570.0,36,5
570.8695652173913,35,5
571.7391304347826,35,4
572.6086956521739,39,4
573.4782608695652,32,1
574.3478260869565,53,6
575.2173913043478,41,5
576.0869565217391,50,1
576.9565217391305,39,8
577.8260869565217,55,3
578.695652173913,56,4
579.5652173913044,49,6
580.4347826086956,59,2
581.304347826087,57,5
582.1739130434783,60,5
583.0434782608695,64,7
583.9130434782609,73,8
584.7826086956522,57,4
585.6521739130435,91,6
586.5217391304348,92,7
587.3913043478261,105,5
588.2608695652174,107,12
589.1304347826087,102,11
590.0,109,9
590.8695652173913,123,7
591.7391304347826,105,6
592.6086956521739,135,10
593.4782608695652,144,12
594.3478260869565,155,13
595.2173913043478,166,13
596.0869565217391,149,16
596.9565217391305,190,20
597.8260869565217,166,17
598.695652173913,185,14
599.5652173913044,180,19
600.4347826086956,184,11
601.304347826087,215,12
602.1739130434783,198,19
603.0434782608695,234,19
603.9130434782609,224,12
604.7826086956522,275,14
605.6521739130435,262,13
606.5217391304348,264,16
607.3913043478261,264,18
608.2608695652174,294,20
609.1304347826087,296,15
610.0,314,14
610.8695652173913,297,19
611.7391304347826,293,20
612.6086956521739,293,16
613.4782608695652,309,18
614.3478260869565,331,23
615.2173913043478,334,16
616.0869565217391,337,20
616.9565217391305,328,20
617.8260869565217,305,23
618.695652173913,348,24
619.5652173913044,346,23
620.4347826086956,364,11
621.304347826087,353,20
622.1739130434783,359,11
623.0434782608695,351,13
623.9130434782609,352,24
624.7826086956522,365,14
625.6521739130435,332,12
626.5217391304348,353,14
627.3913043478261,353,14
628.2608695652174,351,11
629.1304347826087,330,15
630.0,369,16
630.8695652173913,342,25
631.7391304347826,335,13
632.6086956521739,319,15
633.4782608695652,283,19
634.3478260869565,277,24
