pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,2,0
501.304347826087,2,2
502.17391304347825,5,2
503.04347826086956,10,0
503.9130434782609,11,1
504.78260869565213,8,1
505.6521739130435,8,2
506.52173913043475,12,1
507.3913043478261,17,1
508.2608695652174,16,2
509.13043478260875,17,1
510.0,13,0
510.86956521739125,29,2
511.7391304347826,24,2
512.608695652174,21,5
513.4782608695652,13,2
514.3478260869565,18,2
515.2173913043478,26,3
516.0869565217391,12,1
516.9565217391305,20,3
517.8260869565217,25,3
518.695652173913,17,0
519.5652173913044,12,1
520.4347826086956,17,1
521.304347826087,14,3
522.1739130434783,16,1
523.0434782608695,17,3
523.9130434782609,13,1
524.7826086956522,23,2
525.6521739130435,10,1
526.5217391304348,14,2
527.391304347826,22,0
528.2608695652174,24,1
529.1304347826087,15,2
530.0,24,4
530.8695652173913,25,4
531.7391304347826,12,0
532.6086956521739,18,2
533.4782608695652,21,1
534.3478260869565,29,3
535.2173913043478,14,5
536.0869565217391,26,0
536.9565217391305,22,2
537.8260869565217,19,0
538.695652173913,26,3
539.5652173913044,19,3
540.4347826086956,21,4
541.304347826087,10,1
542.1739130434783,23,2
543.0434782608695,16,1
543.9130434782609,26,3
544.7826086956522,18,1
545.6521739130435,13,2
546.5217391304348,15,2
547.391304347826,23,4
548.2608695652174,26,9
549.1304347826087,24,4
550.0,26,4
550.8695652173913,31,1
551.7391304347826,26,2
552.6086956521739,19,5
553.4782608695652,20,3
554.3478260869565,21,4
555.2173913043478,22,3
556.0869565217391,22,1
556.9565217391305,22,0
557.8260869565217,27,5
558.695652173913,24,4
559.5652173913044,26,7
560.4347826086956,18,6
561.304347826087,27,6
562.1739130434783,23,3
563.0434782608695,33,6
563.9130434782609,23,2
564.7826086956522,31,4
565.6521739130435,30,1
566.5217391304348,28,8
567.3913043478261,32,2
568.2608695652174,20,7
569.1304347826087,20,4
570.0,28,3
570.8695652173913,30,6
571.7391304347826,49,11
572.6086956521739,33,5
573.4782608695652,31,4
574.3478260869565,40,10
575.2173913043478,41,9
576.0869565217391,36,7
576.9565217391305,41,17
577.8260869565217,44,11
578.695652173913,48,10
579.5652173913044,53,7
580.4347826086956,57,8
581.304347826087,47,8
582.1739130434783,69,5
583.0434782608695,63,12
583.9130434782609,63,12
584.7826086956522,59,12
585.6521739130435,66,7
586.5217391304348,75,12
587.3913043478261,83,18
588.2608695652174,92,19
589.1304347826087,105,16
590.0,107,14
590.8695652173913,112,9
591.7391304347826,136,17
592.6086956521739,110,21
593.4782608695652,125,21
594.3478260869565,115,15
595.2173913043478,133,16
596.0869565217391,149,22
596.9565217391305,155,19
597.8260869565217,143,13
598.695652173913,186,29
599.5652173913044,172,11
600.4347826086956,175,15
601.304347826087,161,19
