pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,2,3
501.304347826087,9,1
502.17391304347825,3,0
503.04347826086956,2,1
503.9130434782609,6,0
504.78260869565213,7,2
505.6521739130435,4,3
506.52173913043475,11,1
507.3913043478261,16,0
508.2608695652174,16,0
509.13043478260875,17,2
510.0,22,0
510.86956521739125,15,1
511.7391304347826,13,0
512.608695652174,17,1
513.4782608695652,19,2
514.3478260869565,27,0
515.2173913043478,19,2
516.0869565217391,23,1
516.9565217391305,28,1
517.8260869565217,19,1
518.695652173913,28,0
519.5652173913044,21,3
520.4347826086956,17,3
521.304347826087,24,2
522.1739130434783,36,1
523.0434782608695,22,2
523.9130434782609,32,1
524.7826086956522,16,3
525.6521739130435,23,1
526.5217391304348,31,1
527.391304347826,20,1
528.2608695652174,22,1
529.1304347826087,19,2
530.0,27,0
530.8695652173913,27,2
531.7391304347826,20,0
532.6086956521739,25,3
533.4782608695652,23,0
534.3478260869565,25,3
535.2173913043478,18,2
536.0869565217391,17,2
536.9565217391305,33,2
537.8260869565217,17,1
538.695652173913,16,1
539.5652173913044,33,3
540.4347826086956,27,0
541.304347826087,35,0
542.1739130434783,23,1
543.0434782608695,24,1
543.9130434782609,34,0
544.7826086956522,28,2
545.6521739130435,26,2
546.5217391304348,23,1
547.391304347826,30,1
548.2608695652174,34,2
549.1304347826087,16,2
550.0,22,3
550.8695652173913,24,2
551.7391304347826,25,0
552.6086956521739,26,0
553.4782608695652,19,3
554.3478260869565,18,1
555.2173913043478,29,1
556.0869565217391,20,2
556.9565217391305,25,1
557.8260869565217,22,1
558.695652173913,25,2
559.5652173913044,29,2
560.4347826086956,29,3
561.304347826087,18,2
562.1739130434783,31,2
563.0434782608695,32,1
563.9130434782609,28,2
564.7826086956522,29,0
565.6521739130435,31,4
566.5217391304348,23,3
567.3913043478261,19,2
568.2608695652174,31,1
569.1304347826087,31,0
570.0,28,1
570.8695652173913,38,5
571.7391304347826,38,4
572.6086956521739,36,3
573.4782608695652,28,4
574.3478260869565,49,3
575.2173913043478,49,4
576.0869565217391,43,3
576.9565217391305,43,5
577.8260869565217,56,5
578.695652173913,45,4
579.5652173913044,51,10
580.4347826086956,48,6
581.304347826087,53,5
582.1739130434783,55,5
583.0434782608695,54,7
583.9130434782609,63,4
584.7826086956522,72,5
585.6521739130435,69,4
586.5217391304348,78,3
587.3913043478261,82,7
588.2608695652174,73,4
589.1304347826087,84,4
590.0,105,7
590.8695652173913,101,6
591.7391304347826,111,8
592.6086956521739,115,6
593.4782608695652,103,5
594.3478260869565,124,10
595.2173913043478,124,11
596.0869565217391,148,12
596.9565217391305,164,4
597.8260869565217,137,10
598.695652173913,169,10
599.5652173913044,185,10
600.4347826086956,165,13
601.304347826087,193,12
602.1739130434783,204,12
603.0434782608695,201,14
603.9130434782609,232,9
604.7826086956522,212,7
605.6521739130435,259,13
606.5217391304348,266,11
607.3913043478261,223,10
608.2608695652174,262,12
609.1304347826087,248,8
610.0,288,16
610.8695652173913,284,11
611.7391304347826,273,18
612.6086956521739,309,13
613.4782608695652,296,17
614.3478260869565,315,10
615.2173913043478,315,16
616.0869565217391,316,10
616.9565217391305,336,13
617.8260869565217,351,15
618.695652173913,346,12
619.5652173913044,312,18
620.4347826086956,335,17
621.304347826087,377,15
622.1739130434783,355,12
623.0434782608695,326,12
623.9130434782609,328,16
624.7826086956522,353,11
625.6521739130435,325,17
626.5217391304348,344,13
627.3913043478261,331,13
628.2608695652174,322,17
629.1304347826087,330,7
630.0,286,8
630.8695652173913,312,9
631.7391304347826,316,17
632.6086956521739,305,17
633.4782608695652,280,20
634.3478260869565,283,8
635.2173913043478,269,15
636.0869565217391,300,11
