pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,3,0
501.304347826087,0,0
502.17391304347825,1,2
503.04347826086956,1,0
503.9130434782609,6,0
504.78260869565213,5,0
505.6521739130435,9,2
506.52173913043475,12,1
507.3913043478261,12,0
508.2608695652174,8,0
509.13043478260875,16,0
510.0,17,0
510.86956521739125,12,1
511.7391304347826,18,1
512.608695652174,21,0
513.4782608695652,14,2
514.3478260869565,17,0
515.2173913043478,14,1
516.0869565217391,19,3
516.9565217391305,28,0
517.8260869565217,24,2
518.695652173913,25,0
519.5652173913044,18,2
520.4347826086956,22,0
521.304347826087,16,0
522.1739130434783,27,1
523.0434782608695,24,2
523.9130434782609,26,1
524.7826086956522,23,2
525.6521739130435,19,1
526.5217391304348,26,0
527.391304347826,24,0
528.2608695652174,22,0
529.1304347826087,23,0
530.0,19,0
530.8695652173913,17,0
531.7391304347826,24,1
532.6086956521739,14,1
533.4782608695652,30,0
534.3478260869565,24,3
535.2173913043478,19,1
536.0869565217391,23,1
536.9565217391305,26,1
537.8260869565217,24,0
538.695652173913,32,0
539.5652173913044,25,2
540.4347826086956,30,1
541.304347826087,27,0
542.1739130434783,16,1
543.0434782608695,25,0
543.9130434782609,29,1
544.7826086956522,22,5
545.6521739130435,21,3
546.5217391304348,21,0
547.391304347826,24,2
548.2608695652174,29,1
549.1304347826087,27,0
550.0,32,0
550.8695652173913,29,0
551.7391304347826,31,2
552.6086956521739,26,1
553.4782608695652,24,2
554.3478260869565,27,1
555.2173913043478,27,1
556.0869565217391,33,1
556.9565217391305,31,0
557.8260869565217,26,2
558.695652173913,32,3
559.5652173913044,38,1
560.4347826086956,24,3
561.304347826087,31,0
562.1739130434783,27,1
563.0434782608695,22,1
563.9130434782609,30,0
564.7826086956522,39,1
565.6521739130435,28,2
566.5217391304348,38,0
567.3913043478261,30,0
568.2608695652174,34,1
569.1304347826087,44,1
570.0,39,1
570.8695652173913,49,1
571.7391304347826,52,2
572.6086956521739,46,1
573.4782608695652,40,2
574.3478260869565,46,2
575.2173913043478,50,3
576.0869565217391,48,2
576.9565217391305,59,2
577.8260869565217,55,2
578.695652173913,40,1
579.5652173913044,64,3
580.4347826086956,48,0
581.304347826087,73,7
582.1739130434783,72,2
583.0434782608695,76,1
583.9130434782609,74,3
584.7826086956522,100,5
585.6521739130435,86,3
586.5217391304348,102,2
587.3913043478261,92,3
588.2608695652174,103,0
589.1304347826087,106,3
590.0,137,4
590.8695652173913,143,4
591.7391304347826,115,4
592.6086956521739,140,3
593.4782608695652,140,2
594.3478260869565,141,3
595.2173913043478,148,3
596.0869565217391,188,6
596.9565217391305,164,2
597.8260869565217,175,1
598.695652173913,173,3
599.5652173913044,219,3
600.4347826086956,206,4
601.304347826087,210,3
602.1739130434783,245,6
603.0434782608695,229,7
603.9130434782609,253,4
604.7826086956522,263,6
605.6521739130435,281,4
606.5217391304348,284,5
607.3913043478261,269,8
608.2608695652174,297,4
609.1304347826087,322,4
610.0,326,3
610.8695652173913,326,3
611.7391304347826,314,6
612.6086956521739,359,6
613.4782608695652,346,4
614.3478260869565,352,4
615.2173913043478,342,5
616.0869565217391,374,8
616.9565217391305,384,10
617.8260869565217,370,4
618.695652173913,360,3
619.5652173913044,319,5
620.4347826086956,370,4
621.304347826087,398,0
622.1739130434783,371,7
623.0434782608695,381,6
623.9130434782609,344,4
624.7826086956522,352,5
625.6521739130435,325,5
626.5217391304348,339,5
627.3913043478261,322,4
628.2608695652174,319,5
629.1304347826087,298,3
630.0,293,4
630.8695652173913,303,4
631.7391304347826,326,2
632.6086956521739,287,6
633.4782608695652,286,5
634.3478260869565,274,5
635.2173913043478,259,7
636.0869565217391,269,2
636.9565217391305,262,12
637.8260869565217,252,2
638.695652173913,231,1
639.5652173913044,200,0
640.4347826086956,194,3
641.304347826087,186,4
642.1739130434783,202,3
643.0434782608695,178,2
643.9130434782609,161,2
644.7826086956521,154,1
645.6521739130435,136,2
646.5217391304348,139,0
647.3913043478261,114,3
648.2608695652174,135,0
649.1304347826087,110,3
650.0,96,3
650.8695652173913,99,3
651.7391304347826,89,3
652.6086956521739,88,2
653.4782608695652,87,0
654.3478260869565,76,4
655.2173913043478,61,2
656.0869565217391,62,5
656.9565217391305,55,0
657.8260869565217,64,0
658.695652173913,43,0
659.5652173913044,49,0
660.4347826086956,39,3
661.304347826087,46,1
662.1739130434783,23,2
663.0434782608695,23,6
663.9130434782609,39,0
664.7826086956521,28,0
665.6521739130435,26,0
666.5217391304348,29,0
667.3913043478261,24,3
668.2608695652174,28,3
669.1304347826087,29,4
670.0,21,1
670.8695652173913,14,1
671.7391304347826,15,1
672.6086956521739,22,0
673.4782608695652,24,0
674.3478260869565,14,0
675.2173913043478,12,2
676.0869565217391,12,1
676.9565217391305,12,0
677.8260869565217,12,1
678.695652173913,11,2
679.5652173913044,12,0
680.4347826086956,10,0
681.304347826087,12,2
682.1739130434783,9,1
683.0434782608695,11,3
683.9130434782609,12,0
684.7826086956521,16,2
685.6521739130435,12,0
686.5217391304348,13,1
687.3913043478261,12,0
688.2608695652174,7,0
689.1304347826087,10,1
690.0,8,0
690.8695652173913,11,1
691.7391304347826,11,1
692.6086956521739,11,0
693.4782608695652,10,0
694.3478260869565,9,1
695.2173913043478,14,0
696.0869565217391,12,1
696.9565217391305,8,0
697.8260869565217,8,0
698.695652173913,15,1
699.5652173913044,5,1
700.4347826086956,10,1
701.304347826087,10,1
702.1739130434783,7,1
703.0434782608695,9,0
703.9130434782609,6,1
704.7826086956521,8,1
705.6521739130435,6,1
706.5217391304348,13,1
707.3913043478261,3,0
708.2608695652174,15,1
709.1304347826087,4,1
710.0,12,1
710.8695652173913,8,0
711.7391304347826,16,1
712.6086956521739,10,1
713.4782608695652,11,1
714.3478260869565,7,2
715.2173913043478,18,0
716.0869565217391,16,0
716.9565217391305,5,0
717.8260869565217,12,1
718.695652173913,12,0
719.5652173913044,11,0
720.4347826086956,10,0
721.304347826087,15,1
722.1739130434783,9,0
723.0434782608695,7,0
723.9130434782609,8,1
724.7826086956521,13,1
725.6521739130435,16,1
726.5217391304348,8,2
727.3913043478261,12,0
728.2608695652174,10,2
729.1304347826087,10,1
730.0,15,1
730.8695652173913,9,0
731.7391304347826,11,1
732.6086956521739,9,0
733.4782608695652,7,0
734.3478260869565,10,0
735.2173913043478,12,1
736.0869565217391,6,0
736.9565217391305,13,2
737.8260869565217,9,0
738.695652173913,10,0
739.5652173913044,7,0
740.4347826086956,10,0
741.304347826087,7,0
742.1739130434783,8,0
743.0434782608695,12,0
743.9130434782609,7,0
744.7826086956521,8,1
745.6521739130435,6,0
746.5217391304348,13,0
747.3913043478261,13,0
748.2608695652174,11,1
749.1304347826087,12,0
750.0,12,0
750.8695652173913,11,0
751.7391304347826,10,0
752.6086956521739,19,0
753.4782608695652,6,0
754.3478260869565,8,0
755.2173913043478,13,0
756.0869565217391,14,0
756.9565217391304,6,1
757.8260869565217,10,1
758.695652173913,8,0
759.5652173913044,13,0
