pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,4,0
501.304347826087,5,1
502.17391304347825,4,0
503.04347826086956,4,1
503.9130434782609,6,0
504.78260869565213,8,0
505.6521739130435,10,3
506.52173913043475,11,0
507.3913043478261,9,0
508.2608695652174,13,0
509.13043478260875,17,1
510.0,12,1
510.86956521739125,21,1
511.7391304347826,11,1
512.608695652174,15,0
513.4782608695652,16,0
514.3478260869565,21,3
515.2173913043478,18,3
516.0869565217391,22,1
516.9565217391305,15,0
517.8260869565217,22,1
518.695652173913,28,0
519.5652173913044,17,0
520.4347826086956,14,2
521.304347826087,25,0
522.1739130434783,24,1
523.0434782608695,22,2
523.9130434782609,17,1
524.7826086956522,26,0
525.6521739130435,24,2
526.5217391304348,25,3
527.391304347826,24,1
528.2608695652174,17,1
529.1304347826087,23,1
530.0,32,3
530.8695652173913,22,2
531.7391304347826,21,1
532.6086956521739,20,2
533.4782608695652,23,2
534.3478260869565,31,1
535.2173913043478,19,1
536.0869565217391,21,3
536.9565217391305,28,2
537.8260869565217,24,2
538.695652173913,19,1
539.5652173913044,26,2
540.4347826086956,31,4
541.304347826087,26,1
542.1739130434783,32,1
543.0434782608695,29,0
543.9130434782609,23,3
544.7826086956522,17,1
545.6521739130435,23,0
546.5217391304348,12,0
547.391304347826,31,1
548.2608695652174,35,0
549.1304347826087,30,1
550.0,34,0
550.8695652173913,27,0
551.7391304347826,25,0
552.6086956521739,31,0
553.4782608695652,29,2
554.3478260869565,34,1
555.2173913043478,23,1
556.0869565217391,24,1
556.9565217391305,19,0
557.8260869565217,30,2
558.695652173913,17,1
559.5652173913044,27,2
560.4347826086956,35,0
561.304347826087,27,3
562.1739130434783,31,3
563.0434782608695,33,4
563.9130434782609,47,0
564.7826086956522,39,1
565.6521739130435,31,4
566.5217391304348,34,2
567.3913043478261,33,2
568.2608695652174,35,3
569.1304347826087,36,0
570.0,39,1
570.8695652173913,47,0
571.7391304347826,48,1
572.6086956521739,38,4
573.4782608695652,58,5
574.3478260869565,56,5
575.2173913043478,50,3
576.0869565217391,38,3
576.9565217391305,48,4
577.8260869565217,57,2
578.695652173913,49,3
579.5652173913044,56,4
580.4347826086956,71,4
581.304347826087,62,5
582.1739130434783,68,2
583.0434782608695,81,5
583.9130434782609,94,4
584.7826086956522,82,10
585.6521739130435,91,1
586.5217391304348,96,7
587.3913043478261,107,9
588.2608695652174,107,7
589.1304347826087,112,14
590.0,125,7
590.8695652173913,126,4
591.7391304347826,138,6
592.6086956521739,151,6
593.4782608695652,160,13
594.3478260869565,163,10
595.2173913043478,155,8
596.0869565217391,181,10
596.9565217391305,174,8
597.8260869565217,174,9
598.695652173913,195,10
599.5652173913044,206,8
600.4347826086956,217,5
601.304347826087,233,8
602.1739130434783,239,10
603.0434782608695,246,13
603.9130434782609,241,9
604.7826086956522,252,9
605.6521739130435,287,10
606.5217391304348,286,12
607.3913043478261,293,9
608.2608695652174,286,9
609.1304347826087,338,12
610.0,303,11
610.8695652173913,301,18
611.7391304347826,311,9
612.6086956521739,295,13
613.4782608695652,342,16
614.3478260869565,377,9
615.2173913043478,343,12
616.0869565217391,327,12
616.9565217391305,344,10
617.8260869565217,356,11
618.695652173913,370,10
619.5652173913044,399,11
620.4347826086956,363,14
621.304347826087,326,14
622.1739130434783,348,12
623.0434782608695,336,13
623.9130434782609,365,9
624.7826086956522,350,6
625.6521739130435,318,3
626.5217391304348,361,17
627.3913043478261,307,9
628.2608695652174,328,9
